Player Name,Player Position,Team,Team Bye Week
G.Zuerlein,K,NYJ,12
C.McLaughlin,K,TB,11
J.Myers,K,SEA,10
B.McManus,K,GB,10
J.Elliott,K,PHI,5
C.Dicker,K,LAC,5
C.Boswell,K,PIT,9
B.Aubrey,K,DAL,7
C.Santos,K,CHI,7
H.Butker,K,KC,6
N.Folk,K,TEN,5
K.Fairbairn,K,HOU,14
J.Tucker,K,BAL,14
E.McPherson,K,CIN,12
M.Prater,K,ARI,11
D.Carlson,K,LV,10
Y.Koo,K,ATL,12
B.Grupe,K,NO,12
J.Moody,K,SF,9
J.Slye,K,NE,14
E.Pineiro,K,CAR,11
J.Sanders,K,MIA,6
Z.Gonzalez,K,WAS,14
G.Joseph,K,NYJ,12
A.Seibert,K,WAS,14
D.Hopkins,K,CLE,10
A.Carlson,K,NYJ,12
C.Ryland,K,ARI,11
M.Gay,K,IND,14
C.York,K,CIN,12
G.Gano,K,NYG,11
T.Bass,K,BUF,12
J.Romo,K,NE,14
J.Bates,K,DET,5
W.Reichard,K,MIN,6
C.Little,K,JAX,12
B.Narveson,K,TEN,5
J.Karty,K,LAR,6
W.Lutz,K,DEN,14
J.Allen,QB,BUF,12
L.Jackson,QB,BAL,14
J.Hurts,QB,PHI,5
D.Prescott,QB,DAL,7
B.Purdy,QB,SF,9
P.Mahomes,QB,KC,6
J.Love,QB,GB,10
T.Lawrence,QB,JAX,12
J.Fields,QB,PIT,9
T.Tagovailoa,QB,MIA,6
R.Wilson,QB,PIT,9
J.Herbert,QB,LAC,5
B.Mayfield,QB,TB,11
J.Winston,QB,CLE,10
C.Stroud,QB,HOU,14
J.Goff,QB,DET,5
M.Stafford,QB,LAR,6
G.Smith,QB,SEA,10
J.Brissett,QB,NE,14
D.Carr,QB,NO,12
A.Rodgers,QB,NYJ,12
A.Richardson,QB,IND,14
S.Rattler,QB,NO,12
B.Nix,QB,DEN,14
D.Maye,QB,NE,14
J.Daniels,QB,WAS,14
C.Williams,QB,CHI,7
K.Cousins,QB,ATL,12
K.Murray,QB,ARI,11
G.Minshew,QB,LV,10
A.Dalton,QB,CAR,11
J.Burrow,QB,CIN,12
S.Darnold,QB,MIN,6
D.Lock,QB,NYG,11
J.Flacco,QB,IND,14
B.Young,QB,CAR,11
M.Jones,QB,JAX,12
D.Watson,QB,CLE,10
M.Rudolph,QB,TEN,5
D.Jones,QB,MIN,6
T.Huntley,QB,MIA,6
A.O'Connell,QB,LV,10
W.Levis,QB,TEN,5
C.Rush,QB,DAL,7
D.Thompson-Robinson,QB,CLE,10
K.Williams,RB,LAR,6
B.Hall,RB,NYJ,12
R.White,RB,TB,11
A.Kamara,RB,NO,12
J.Cook,RB,BUF,12
B.Robinson,RB,WAS,14
B.Robinson,RB,ATL,12
T.Etienne,RB,JAX,12
D.Achane,RB,MIA,6
J.Warren,RB,PIT,9
J.Gibbs,RB,DET,5
N.Chubb,RB,CLE,10
J.Mixon,RB,HOU,14
B.Robinson,RB,WAS,14
B.Robinson,RB,ATL,12
D.Henry,RB,BAL,14
A.Ekeler,RB,WAS,14
T.Pollard,RB,TEN,5
D.Swift,RB,CHI,7
D.Montgomery,RB,DET,5
K.Walker,RB,SEA,10
T.Spears,RB,TEN,5
A.Gibson,RB,NE,14
R.Stevenson,RB,NE,14
J.Ford,RB,CLE,10
J.Conner,RB,ARI,11
J.Jacobs,RB,GB,10
S.Barkley,RB,PHI,5
C.Hubbard,RB,CAR,11
J.McLaughlin,RB,DEN,14
D.Singletary,RB,NYG,11
A.Jones,RB,MIN,6
A.Jones,RB,WAS,14
J.Dobbins,RB,LAC,5
N.Harris,RB,PIT,9
G.Edwards,RB,LAC,5
A.Mattison,RB,LV,10
J.Williams,RB,NO,12
J.Williams,RB,DEN,14
Z.Charbonnet,RB,SEA,10
R.Dowdle,RB,DAL,7
J.Mason,RB,SF,9
T.Bigsby,RB,JAX,12
C.Brown,RB,CIN,12
B.Irving,RB,TB,11
T.Tracy,RB,NYG,11
A.Abdullah,RB,LV,10
K.Hunt,RB,KC,6
J.Taylor,RB,HOU,14
J.Taylor,RB,IND,14
T.Allgeier,RB,ATL,12
G.Kittle,TE,SF,9
T.Kelce,TE,KC,6
S.LaPorta,TE,DET,5
T.Hockenson,TE,MIN,6
D.Njoku,TE,CLE,10
E.Engram,TE,JAX,12
C.Kmet,TE,CHI,7
T.McBride,TE,ARI,11
J.Ferguson,TE,DAL,7
D.Goedert,TE,PHI,5
K.Pitts,TE,ATL,12
M.Andrews,TE,BAL,14
D.Schultz,TE,HOU,14
D.Kincaid,TE,BUF,12
J.Smith,TE,MIA,6
T.Conklin,TE,NYJ,12
C.Okonkwo,TE,TEN,5
H.Henry,TE,NE,14
J.Akins,TE,CLE,10
J.Mundt,TE,MIN,6
T.Hill,TE,NO,12
G.Calcaterra,TE,PHI,5
J.Ruckert,TE,NYJ,12
L.Schoonmaker,TE,DAL,7
D.Washington,TE,PIT,9
J.Whyle,TE,TEN,5
B.Strange,TE,JAX,12
B.Bowers,TE,LV,10
J.Sanders,TE,CAR,11
A.Barner,TE,SEA,10
T.Johnson,TE,NYG,11
I.Likely,TE,BAL,14
C.Otton,TE,TB,11
F.Moreau,TE,NO,12
N.Fant,TE,SEA,10
W.Dissly,TE,LAC,5
K.Granson,TE,IND,14
N.Gray,TE,KC,6
T.Kraft,TE,GB,10
M.Mayer,TE,LV,10
J.Johnson,TE,NO,12
P.Freiermuth,TE,PIT,9
C.Parkinson,TE,LAR,6
M.Gesicki,TE,CIN,12
